tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",AGO3,192669,1052,8,0.0076045627376425,9,0.0085551330798479,123,0.1169201520912547,322,0.3060836501901141,0,0.0,454,0.4315589353612167,456,0.4334600760456273,2,448,6
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",AGO4,192670,1052,8,0.0076045627376425,7,0.0066539923954372,120,0.1140684410646387,329,0.3127376425855513,0,0.0,456,0.4334600760456273,461,0.438212927756654,5,453,3
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",DGCR8,54487,1052,5,0.0047528517110266,8,0.0076045627376425,130,0.123574144486692,449,0.4268060836501901,2,0.0019011406844106,589,0.5598859315589354,593,0.5636882129277566,4,588,1
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",DICER1,23405,1052,11,0.0104562737642585,7,0.0066539923954372,137,0.1302281368821292,318,0.3022813688212927,3,0.0028517110266159,465,0.4420152091254752,471,0.4477186311787072,6,460,5
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",DROSHA,29102,1052,9,0.0085551330798479,16,0.0152091254752851,334,0.3174904942965779,103,0.0979087452471483,0,0.0,453,0.4306083650190114,456,0.4334600760456273,3,447,6
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",LIN28A,79727,1052,2,0.0019011406844106,1,0.0009505703422053,62,0.05893536121673,435,0.4134980988593156,1,0.0009505703422053,499,0.4743346007604562,500,0.4752851711026616,1,498,1
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",LIN28B,389421,1052,2,0.0019011406844106,21,0.0199619771863117,160,0.1520912547528517,330,0.3136882129277566,2,0.0019011406844106,513,0.4876425855513308,514,0.4885931558935361,1,512,1
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",PRKRA,8575,1052,3,0.0028517110266159,4,0.0038022813688212,96,0.091254752851711,224,0.2129277566539923,0,0.0,324,0.3079847908745247,324,0.3079847908745247,0,321,3
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",SMAD2,4087,1052,6,0.0057034220532319,4,0.0038022813688212,154,0.1463878326996197,337,0.3203422053231939,3,0.0028517110266159,498,0.4733840304182509,501,0.4762357414448669,3,495,3
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",SMAD4,4089,1052,9,0.0085551330798479,2,0.0019011406844106,148,0.1406844106463878,344,0.3269961977186312,8,0.0076045627376425,502,0.4771863117870722,503,0.4781368821292776,1,494,8
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",TARBP2,6895,1052,7,0.0066539923954372,3,0.0028517110266159,198,0.188212927756654,168,0.1596958174904943,0,0.0,369,0.3507604562737642,373,0.3545627376425855,4,366,3
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",TP53,7157,1052,344,0.3269961977186312,0,0.0,53,0.0503802281368821,633,0.6017110266159695,9,0.0085551330798479,695,0.6606463878326996,749,0.7119771863117871,54,405,290
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",XPO5,57510,1052,12,0.0114068441064638,13,0.0123574144486692,241,0.2290874524714828,149,0.1416349809885931,3,0.0028517110266159,406,0.3859315589353612,411,0.3906844106463878,5,399,7
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",AGO1,26523,287,3,0.0104529616724738,1,0.0034843205574912,81,0.2822299651567944,20,0.0696864111498257,0,0.0,102,0.3554006968641115,105,0.3658536585365853,3,102,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",AGO2,27161,287,5,0.0174216027874564,8,0.0278745644599303,107,0.3728222996515679,24,0.0836236933797909,0,0.0,139,0.4843205574912892,139,0.4843205574912892,0,134,5
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",AGO3,192669,287,4,0.0139372822299651,1,0.0034843205574912,81,0.2822299651567944,20,0.0696864111498257,0,0.0,102,0.3554006968641115,106,0.3693379790940767,4,102,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",AGO4,192670,287,6,0.0209059233449477,1,0.0034843205574912,81,0.2822299651567944,20,0.0696864111498257,0,0.0,102,0.3554006968641115,108,0.3763066202090592,6,102,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",DGCR8,54487,287,4,0.0139372822299651,3,0.0104529616724738,35,0.1219512195121951,60,0.2090592334494773,0,0.0,98,0.3414634146341463,102,0.3554006968641115,4,98,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",DICER1,23405,287,8,0.0278745644599303,4,0.0139372822299651,47,0.1637630662020905,45,0.156794425087108,2,0.0069686411149825,98,0.3414634146341463,102,0.3554006968641115,4,94,4
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",DROSHA,29102,287,6,0.0209059233449477,14,0.048780487804878,110,0.3832752613240418,9,0.0313588850174216,0,0.0,133,0.4634146341463415,137,0.4773519163763066,4,131,2
